medicinalproduct,activesubstancename,rancount,activesubstancecount,source
TESTOSTERONE CYP,TESTOSTERONE CYPIONATE,8.022,2563,faers
TESTOSTERONE CYMPONIATE,TESTOSTERONE CYPIONATE,1.022,2563,faers
TESTOSTERONE 17BETA-CYPIONATE,TESTOSTERONE CYPIONATE,1.022,2563,faers
TESTOSTERON CYPIONATE,TESTOSTERONE CYPIONATE,2.022,2563,faers
TESTOST CYP,TESTOSTERONE CYPIONATE,5.022,2563,faers
DEPO-TESTOSTERONE,TESTOSTERONE CYPIONATE,41.022,2563,faers
CYPIONATE/TESTOSTERONE 2000 MG/10ML WATSON,TESTOSTERONE CYPIONATE,1.022,2563,faers
CYPIONATE TESTOSTERONE,TESTOSTERONE CYPIONATE,1.022,2563,faers
SMECTITE,MONTMORILLONITE,6.015,226,faers
SMECTA,MONTMORILLONITE,43.015,226,faers
MONTMORILLONITE,MONTMORILLONITE,6.015,226,faers
DIOSMECTITE,MONTMORILLONITE,10.015,226,faers
COLINA,MONTMORILLONITE,1.015,226,faers
CITICOLINE SODIUM,CITICOLINE SODIUM,6.017,8,faers
CITICOLINE/CITICOLINE SODIUM,CITICOLINE SODIUM,1.017,8,faers
CARBON DIOXIDE PREPERITONEAL INSUFFLATION,CARBON DIOXIDE,1.014,11,faers
CARBON DIOXIDE (GENERIC),CARBON DIOXIDE,1.014,11,faers
CARBON DIOXIDE.,CARBON DIOXIDE,9.014,11,faers
VICCILLIN,AMPICILLIN,11.01,590,faers
PENTREXYL,AMPICILLIN,1.01,590,faers
AMPLITAL,AMPICILLIN,1.01,590,faers
AMPICILLIN (UNKNOWN),AMPICILLIN,4.01,590,faers
AMPICILLIN INJECTION,AMPICILLIN,1.01,590,faers
AMPICILLIN CAPSULES USP,AMPICILLIN,2.01,590,faers
AMPICILLIN (AMPICILLIN) UNKNOWN,AMPICILLIN,1.01,590,faers
AMPICILLIN (AMPICILLIN),AMPICILLIN,6.01,590,faers
AMPICILLIN /00000502/,AMPICILLIN,1.01,590,faers
AMPICILLIN                         /00000502/,AMPICILLIN,2.01,590,faers
AMPICILLIN,AMPICILLIN,36.01,590,faers
AMPICILINA LABELSFAL 1000 MG (AMPICILLIN) (AMPICILLIN),AMPICILLIN,1.01,590,faers
AMPICILINA,AMPICILLIN,2.01,590,faers
AMP,AMPICILLIN,1.01,590,faers
CHLOROQUINE SULFATE,CHLOROQUINE SULFATE,1.019,1,faers
CARDIOPLEGIA,CALCIUM CHLORIDE\MAGNESIUM CHLORIDE\POTASSIUM CHLORIDE\PROCAINE HYDROCHLORIDE\SODIUM CHLORIDE,3.093,6,faers
FULCALIQ,AMINO ACIDS\CARBOHYDRATES\ELECTROLYTES NOS\VITAMINS,16.051,53,faers
ELNEOPA NO.2,AMINO ACIDS\CARBOHYDRATES\ELECTROLYTES NOS\VITAMINS,15.051,53,faers
XYLONEST,PRILOCAINE HYDROCHLORIDE,1.024,6,faers
PRILOCAINE HYDROCHLORIDE.,PRILOCAINE HYDROCHLORIDE,2.024,6,faers
CITANEST PLAIN,PRILOCAINE HYDROCHLORIDE,2.024,6,faers
ULTRAMAX ANTIPERSPIRANT DEODORANT COOL BLAST,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,1.04,6,faers
SPEED STICK POWER FRESH,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,2.04,6,faers
MENNEN SPEED STICK STAINGUARD,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,1.04,6,faers
LADY SPEED STICK INVISIBLE DRY WILD FREESIA,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,1.04,6,faers
LADY SPEED STICK CLINICAL PROOF PH ACTIVE,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,1.04,6,faers
NOVAFERRUM,ASCORBIC ACID\FOLIC ACID\IRON,1.029,1,faers
PROCAINE HYDROCHLORIDE,PROCAINE HYDROCHLORIDE,7.022,84,faers
PROCAINE HCL,PROCAINE HYDROCHLORIDE,3.022,84,faers
NOVOCAIN,PROCAINE HYDROCHLORIDE,20.022,84,faers
SULAR,NISOLDIPINE,30.011,107,faers
NISOLDIPINE EXTENDED-RELEASE TABLETS,NISOLDIPINE,1.011,107,faers
NISOLDIPINE ER,NISOLDIPINE,2.011,107,faers
NISOLDIPINE.,NISOLDIPINE,24.011,107,faers
BAYMYCARD 10,NISOLDIPINE,1.011,107,faers
PARAMOL (DIHYDROCODEINE BITARTRATE/PARACETAMOL),ACETAMINOPHEN\DIHYDROCODEINE BITARTRATE,1.039,7,faers
PARAMOL-118,ACETAMINOPHEN\DIHYDROCODEINE BITARTRATE,4.039,7,faers
DIHYDROCODEINE BITARTRATE/PARACETAMOL,ACETAMINOPHEN\DIHYDROCODEINE BITARTRATE,1.039,7,faers
ACETAMINOPHEN (+) DIHYDROCODEINE BITARTRATE,ACETAMINOPHEN\DIHYDROCODEINE BITARTRATE,1.039,7,faers
VITAMIN K2,MENAQUINONE 6,25.013,54,faers
K2 (VITAMIN),MENAQUINONE 6,2.013,54,faers
PARACETAMOL/DEXTROMETHORPHAN HYDROBROMIDE/PSEUDOEPHEDRINE HYDROCHLORIDE/GUAIFENESIN,ACETAMINOPHEN\DEXTROMETHORPHAN\GUAIFENESIN\PSEUDOEPHEDRINE HYDROCHLORIDE,1.072,1,faers
RENOQUID,SULFACYTINE,1.011,1,faers
STOMACHIC,HERBALS\SODIUM BICARBONATE,1.026,1,faers
CARBENIN,BETAMIPRON\PANIPENEM,14.02,20,faers
"PHYSIONEAL 40 Z GLUKOZA 2,27 W/V 22,7 MG/ML",CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,2.076,18,faers
PHYSIONEAL 40 GLUKOZA 1.36% M/V/ 13.6 G/ML,CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,1.076,18,faers
"PHYSIONEAL 40 GLUCOSE 2,27 % W/V 22,7 MG/ML CLEARFLEX PERITONEALDIALYS",CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,6.076,18,faers
"PHYSIONEAL 40 GLUCOSE 2,27% M/V / 22,7 MG/ML, OPLOSSING VOOR PERITONEA",CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,3.076,18,faers
PHYSIONEAL 40 DEXTROSE SOLUTION 2.5 %W/V/25.0 MG/ML,CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,1.076,18,faers
PHYSIONEAL 40 CLEAR-FLEX 2.27%,CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,1.076,18,faers
FIXIONEAL,CALCIUM\DEXTROSE\MAGNESIUM\SODIUM BICARBONATE\SODIUM CHLORIDE\SODIUM LACTATE,1.076,18,faers
WOBENZYM (AMYLASE\BROMELAINS\CHYMOTRYPSIN\PANCRELIPASE\PAPAIN\RUTIN\TRYPSIN),AMYLASE\BROMELAINS\CHYMOTRYPSIN\PANCRELIPASE\PAPAIN\RUTIN\TRYPSIN,2.065,8,faers
WOBENZYM,AMYLASE\BROMELAINS\CHYMOTRYPSIN\PANCRELIPASE\PAPAIN\RUTIN\TRYPSIN,5.065,8,faers
SAFEDEX,BICALUTAMIDE,2.012,1493,faers
COSUDEX,BICALUTAMIDE,20.012,1493,faers
CASODEX,BICALUTAMIDE,42.012,1493,faers
BICLUTAMIDE,BICALUTAMIDE,2.012,1493,faers
BICALUTAMIDE (UNKNOWN),BICALUTAMIDE,8.012,1493,faers
BICALUTAMIDE TEVA (BICALUTAMIDE),BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE TEVA - 50 MG COMPRESSE RIVESTITE CON FILM - TEVA ITALIA S,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE TEVA 50 MG,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE ^TEVA^,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE TEVA,BICALUTAMIDE,4.012,1493,faers
BICALUTAMIDE TABS 50MG,BICALUTAMIDE,3.012,1493,faers
BICALUTAMIDE TABLETTER,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE TABLETS 80MG  ^MYLAN^,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE SUN 50 MG COMPRESSE RIVESTITE CON FILM,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE(NON AZ PRODUCT),BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE (NON AZ PRODUCT),BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE ( NON AZ PRODUCT),BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE MYLAN (BICALUTAMIDE),BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE (BICALUTAMIDE) 80 MG,BICALUTAMIDE,7.012,1493,faers
BICALUTAMIDE (ATLLC),BICALUTAMIDE,4.012,1493,faers
BICALUTAMIDE ACTAVIS,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE ACCORD,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE 50MG TEVA,BICALUTAMIDE,2.012,1493,faers
BICALUTAMIDE 50 MG TEVA,BICALUTAMIDE,1.012,1493,faers
BICALUTAMIDE.,BICALUTAMIDE,44.012,1493,faers
BICALUTAMIDA TEVA,BICALUTAMIDE,1.012,1493,faers
BICALUTAMID,BICALUTAMIDE,17.012,1493,faers
ENALAPRIL W/HYDROCHLOROTHIAZIDE,ENALAPRIL\HYDROCHLOROTHIAZIDE,3.029,50,faers
"ENALAPRIL HYDROCHLOROTHIAZIDE MYLAN 20 MG/12,5 MG, COMPRIM? S?CABLE",ENALAPRIL\HYDROCHLOROTHIAZIDE,1.029,50,faers
"ENALAPRIL, HYDROCHLOROTHIAZIDE",ENALAPRIL\HYDROCHLOROTHIAZIDE,1.029,50,faers
ENALAPRIL HYDROCHLOROTHIAZIDE,ENALAPRIL\HYDROCHLOROTHIAZIDE,1.029,50,faers
ENALAPRIL-HCTZ 10-25 MG TEVA USA,ENALAPRIL\HYDROCHLOROTHIAZIDE,1.029,50,faers
ENALAPRIL/HCTZ,ENALAPRIL\HYDROCHLOROTHIAZIDE,5.029,50,faers
ENALAPRIL HCT,ENALAPRIL\HYDROCHLOROTHIAZIDE,5.029,50,faers
CO-RENITEC,ENALAPRIL\HYDROCHLOROTHIAZIDE,16.029,50,faers
CORENITEC,ENALAPRIL\HYDROCHLOROTHIAZIDE,5.029,50,faers
ANATON,ENALAPRIL\HYDROCHLOROTHIAZIDE,1.029,50,faers
TANDEMACT,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,4.038,27,faers
SONIAS COMBINATION TABLETS HD,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,1.038,27,faers
SONIAS,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,3.038,27,faers
PIOGLITAZONE HYDROCHLORIDE AND GLIMEPIRIDE,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,1.038,27,faers
GLIMEPIRIDE W/PIOGLITAZONE,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,2.038,27,faers
DUETACT,GLIMEPIRIDE\PIOGLITAZONE HYDROCHLORIDE,10.038,27,faers
CEFOPERAZONE TAZOBACTAM SODIUM,CEFOPERAZONE\TAZOBACTAM SODIUM,1.03,2,faers
CEFOPERAZONE SODIUM AND TAZOBACTAM SODIUM,CEFOPERAZONE\TAZOBACTAM SODIUM,1.03,2,faers
PARAMIDIN,BUCOLOME,8.008,9,faers
BUCOLOME,BUCOLOME,1.008,9,faers
ACETYL FENTANYL,ACETYLFENTANYL,3.014,3,faers
TORL?S-H,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
TORLOS H,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
PREMINENT TABLETS LD,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
PREMINENT TABLETS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,8.038,2005,faers
PREMINENT LD,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
"PREMINENT (HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIUM)",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
PREMINENT,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,35.038,2005,faers
"NEO-LOTAN PLUS 50 MG + 12,5 MG COMPRESSE RIVESTITE CON FILM",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
NEO-LOTAN PLUS 100MG + 25MG COMPRESSE RIVESTITE CON FILM,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
NEO-LOTAN PLUS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,3.038,2005,faers
LOSARTAN POTASSIUM W/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,24.038,2005,faers
"LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE TABLETS USP 100MG/25MG (LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100MG/25MG) (HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIUM)",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE TABLET 50 MG/12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE FILM-COATED TABLETS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 50MG/12.5MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 50MG +12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 100MG/25MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 100MG +12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,8.038,2005,faers
LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,11.038,2005,faers
"LOSARTAN POTASSIUM,HYDROCHLOROTHIAZIDE",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN POTASSIUM + HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,6.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 50MG/12.5MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,3.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 50/12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100MG/12.5MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100 MG/12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS 100 MG/25 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS 100 MG/12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,33.038,2005,faers
LOSARTAN POTASSIUM (50 MG) + HCTZ (12.5 MG),HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN POTASSIUM (100 MG) + HCTZ (25 MG),HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN PLUS HIDROCLOROTIAZIDA COTIASAR,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTANKALIUM /HYDROCHLOROTHIAZID ACTAVIS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
LOSARTAN IDROCLOROTIAZIDE MYLAN GENERICS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN-HYDROCHLOROTHIAZIDE ACTAVIS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN/ HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,7.038,2005,faers
LOSARTAN HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,15.038,2005,faers
LOSARTAN/HIDROCLOROTIAZIDA COMBIX,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN-HCTZ 100-125MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
LOSARTAN/HCT,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,23.038,2005,faers
LOSARTAN AND HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,43.038,2005,faers
LORZAAR PLUS,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,5.038,2005,faers
HYZAAR,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,36.038,2005,faers
HYDROCHLOROTHIAZIDE/LOSARTAN POTASSIUM,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,7.038,2005,faers
HYDROCHLOROTHIAZIDE (+) LOSARTAN POTASSIUM,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,5.038,2005,faers
HYDROCHLOROTHIAZIDE / LOSARTAN,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,9.038,2005,faers
HIZAAR 50MG + 12.5MG COMPRESSE RIVESTITE CON FILM,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
HIZAAR,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,6.038,2005,faers
FORZAAR 100 MG + 25 MG COMPRESSE RIVESTITE CON FILM,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
"FORTZAAR 100 MG/25 MG, COMPRIM? PELLICUL?",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,4.038,2005,faers
FORTZAAR 100 MG/12.5 MG COMPRIME PELLICULE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
FORTZAAR,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,13.038,2005,faers
COZAAR PLUS 100/25,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
COZAAR COMP 50 MG/12.5 MG,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
"COZAAR COMP. 100 MG/12,5 MG",HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,2.038,2005,faers
COZAAR COMP,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,15.038,2005,faers
COSAAR PLUS 50/12.5,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
CORUS H,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,4.038,2005,faers
CORODIN-D FORTE,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,1.038,2005,faers
COMBISARTAN,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,24.038,2005,faers
ARADOIS H,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,16.038,2005,faers
ANCOZAN COMP,HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM,5.038,2005,faers
RALOVERA,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
PROVERA,MEDROXYPROGESTERONE ACETATE,40.027,1552,faers
PROGESTON,MEDROXYPROGESTERONE ACETATE,5.027,1552,faers
MPA GYN,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
MPA,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
MEPRATE,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
MEDROXYPROGESTERONE ACETATE.,MEDROXYPROGESTERONE ACETATE,40.027,1552,faers
MEDROXYPROGESTERONE AC,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
MEDROXYPR AC MEDROXYPROGESTERONE ACETATE 150 MG,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
MEDROXY,MEDROXYPROGESTERONE ACETATE,5.027,1552,faers
FARLUTAL,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
DEPOT MEDROXYPROGESTERONE ACETATE (DMPA),MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
DEPOT MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
DEPO-RALOVERA,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
DEPO PROVERA (GENERIC),MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
DEPO-PROVERA,MEDROXYPROGESTERONE ACETATE,41.027,1552,faers
DEPO-CLINOVIR,MEDROXYPROGESTERONE ACETATE,8.027,1552,faers
AMEN,MEDROXYPROGESTERONE ACETATE,1.027,1552,faers
PRIORIX,MEASLES-MUMPS-RUBELLA VIRUS VACCINE,1.035,6,faers
M-M-RVAXPRO,MEASLES-MUMPS-RUBELLA VIRUS VACCINE,1.035,6,faers
MMR VACCIN,MEASLES-MUMPS-RUBELLA VIRUS VACCINE,2.035,6,faers
"MEASLES, MUMPS, AND RUBELLA (WISTAR RA 27-3) VIRUS VACC, LIVE",MEASLES-MUMPS-RUBELLA VIRUS VACCINE,1.035,6,faers
"MEASLES, MUMPS AND RUBELLA VACCINE",MEASLES-MUMPS-RUBELLA VIRUS VACCINE,1.035,6,faers
ARGINMAX,AMINO ACIDS\HERBALS\MINERALS\VITAMINS,1.037,1,faers
MAXIPEN,PHENETHICILLIN POTASSIUM,1.024,2,faers
BROXIL,PHENETHICILLIN POTASSIUM,1.024,2,faers
YARINA PLUS,DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM,8.051,342,faers
SAFYRAL,DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM,28.051,342,faers
BEYAZ,DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM,39.051,342,faers
ZOMIG ZMT,ZOLMITRIPTAN,13.012,510,faers
ZOMIGORO,ZOLMITRIPTAN,9.012,510,faers
ZOMIG,ZOLMITRIPTAN,41.012,510,faers
ZOLMITRIPTAN (ZOLMITRIPTAN),ZOLMITRIPTAN,1.012,510,faers
ZOLMITRIPTAN TEVA,ZOLMITRIPTAN,2.012,510,faers
ZOLMITRIPTAN ORALLY DISINTEGRATING,ZOLMITRIPTAN,1.012,510,faers
ZOLMITRIPTAN.,ZOLMITRIPTAN,36.012,510,faers
ZOLMIPTRIPTAN,ZOLMITRIPTAN,2.012,510,faers
ASCOTOP,ZOLMITRIPTAN,5.012,510,faers
LYOGEN /00000601/,FLUPHENAZINE,1.012,141,faers
LYOGEN                             /00000601/,FLUPHENAZINE,1.012,141,faers
LYOGEN,FLUPHENAZINE,1.012,141,faers
FLUPHENAZINE (MANUFACTURER UNKNOWN),FLUPHENAZINE,1.012,141,faers
FLUPHENAZINE,FLUPHENAZINE,35.012,141,faers
IFENPRODIL TARTRATE,IFENPRODIL TARTRATE,4.019,7,faers
APONOL,IFENPRODIL TARTRATE,3.019,7,faers
LINOLENIC ACID,LINOLENIC ACID,3.014,3,faers
NEW LECICARBON,"SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC",16.046,64,faers
LECICARBON,"SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC",23.046,64,faers
TIKAGRELOR,TICAGRELOR,1.01,4678,faers
TICAGRELOR (TICAGRELOR),TICAGRELOR,5.01,4678,faers
TICAGRELOR 90MG AZTRAZENECA,TICAGRELOR,1.01,4678,faers
TICAGRELOR 90MG,TICAGRELOR,4.01,4678,faers
TICAGRELOR,TICAGRELOR,36.01,4678,faers
BRILLIQUE,TICAGRELOR,3.01,4678,faers
BRILIQUE (TICAGRELOR),TICAGRELOR,6.01,4678,faers
BRILIQUE - ASTRAZENECA AB,TICAGRELOR,1.01,4678,faers
BRILIQUE ASTRAZENECA,TICAGRELOR,1.01,4678,faers
BRILIQUE 90 MG,TICAGRELOR,1.01,4678,faers
BRILIQUE,TICAGRELOR,45.01,4678,faers
BRILINTA,TICAGRELOR,35.01,4678,faers
AZD6140 CODE NOT BROKEN,TICAGRELOR,7.01,4678,faers
AZD6140,TICAGRELOR,39.01,4678,faers
METRONIDAZOLE SODIUM,METRONIDAZOLE SODIUM,4.02,5,faers
PILOCARPINE HCL/EPINEPHRINE,EPINEPHRINE\PILOCARPINE,2.023,2,faers
LINZESS,LINACLOTIDE,43.011,2567,faers
LINACLOTIDE (OPEN-LABEL),LINACLOTIDE,1.011,2567,faers
LINACLOTIDE (LINACLOTIDE),LINACLOTIDE,3.011,2567,faers
LINACLOTIDE,LINACLOTIDE,34.011,2567,faers
DARIFENACIN(DARILONG) DARILONG 7.5 SUN PHARMA LABORATORIES,DARIFENACIN,1.011,25,faers
DARIFENACIN (DARIFENACIN) (DARIFENACIN),DARIFENACIN,1.011,25,faers
DARIFENACIN,DARIFENACIN,15.011,25,faers
NEUROFLEX,"CAMPHOR, (-)-\MENTHOL, (+)-",1.027,1,faers
VENECTOMIN,CANRENOATE POTASSIUM,5.02,277,faers
SOLUDACTONE,CANRENOATE POTASSIUM,7.02,277,faers
SOLDACTONE,CANRENOATE POTASSIUM,22.02,277,faers
POTASSIUM CANRENOATE (POTASSIUM CANRENOATE),CANRENOATE POTASSIUM,1.02,277,faers
POTASSIUM CANRENOATE,CANRENOATE POTASSIUM,26.02,277,faers
LUVION                             /00252502/,CANRENOATE POTASSIUM,1.02,277,faers
KANRENOL - TEOFARMA S.R.L.,CANRENOATE POTASSIUM,1.02,277,faers
KANRENOL - 25 MG COMPRESSE - TEOFARMA S.R.L.,CANRENOATE POTASSIUM,1.02,277,faers
KANRENOL - 100 MG COMPRESSE,CANRENOATE POTASSIUM,1.02,277,faers
KANRENOL,CANRENOATE POTASSIUM,38.02,277,faers
CANREONATE,CANRENOATE POTASSIUM,1.02,277,faers
CANRENOATE POTASSIUM,CANRENOATE POTASSIUM,7.02,277,faers
ALDACTONE [POTASSIUM CANRENOATE],CANRENOATE POTASSIUM,1.02,277,faers
