"medicinalproduct","activesubstancename"
"NEO-LOTAN PLUS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM W/HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE TABLETS USP 100MG/25MG (LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100MG/25MG) (HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIUM)","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE TABLET 50 MG/12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE FILM-COATED TABLETS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 50MG/12.5MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 50MG +12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 100MG/25MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM / HYDROCHLOROTHIAZIDE 100MG +12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM/HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM,HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM + HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 50MG/12.5MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 50/12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100MG/12.5MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS USP 100 MG/12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS 100 MG/25 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE TABLETS 100 MG/12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM (50 MG) + HCTZ (12.5 MG)","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN POTASSIUM (100 MG) + HCTZ (25 MG)","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN PLUS HIDROCLOROTIAZIDA COTIASAR","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTANKALIUM /HYDROCHLOROTHIAZID ACTAVIS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN IDROCLOROTIAZIDE MYLAN GENERICS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN-HYDROCHLOROTHIAZIDE ACTAVIS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN/ HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN/HIDROCLOROTIAZIDA COMBIX","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN-HCTZ 100-125MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN/HCT","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LOSARTAN AND HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"LORZAAR PLUS","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HYZAAR","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HYDROCHLOROTHIAZIDE/LOSARTAN POTASSIUM","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HYDROCHLOROTHIAZIDE (+) LOSARTAN POTASSIUM","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HYDROCHLOROTHIAZIDE / LOSARTAN","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HIZAAR 50MG + 12.5MG COMPRESSE RIVESTITE CON FILM","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"HIZAAR","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"FORZAAR 100 MG + 25 MG COMPRESSE RIVESTITE CON FILM","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"FORTZAAR 100 MG/25 MG, COMPRIM? PELLICUL?","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"FORTZAAR 100 MG/12.5 MG COMPRIME PELLICULE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"FORTZAAR","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COZAAR PLUS 100/25","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COZAAR COMP 50 MG/12.5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COZAAR COMP. 100 MG/12,5 MG","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COZAAR COMP","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COSAAR PLUS 50/12.5","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"CORUS H","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"CORODIN-D FORTE","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"COMBISARTAN","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"ARADOIS H","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"ANCOZAN COMP","HYDROCHLOROTHIAZIDE\LOSARTAN POTASSIUM"
"RALOVERA","MEDROXYPROGESTERONE ACETATE"
"PROVERA","MEDROXYPROGESTERONE ACETATE"
"PROGESTON","MEDROXYPROGESTERONE ACETATE"
"MPA GYN","MEDROXYPROGESTERONE ACETATE"
"MPA","MEDROXYPROGESTERONE ACETATE"
"MEPRATE","MEDROXYPROGESTERONE ACETATE"
"MEDROXYPROGESTERONE ACETATE.","MEDROXYPROGESTERONE ACETATE"
"MEDROXYPROGESTERONE AC","MEDROXYPROGESTERONE ACETATE"
"MEDROXYPR AC MEDROXYPROGESTERONE ACETATE 150 MG","MEDROXYPROGESTERONE ACETATE"
"MEDROXY","MEDROXYPROGESTERONE ACETATE"
"FARLUTAL","MEDROXYPROGESTERONE ACETATE"
"DEPOT MEDROXYPROGESTERONE ACETATE (DMPA)","MEDROXYPROGESTERONE ACETATE"
"DEPOT MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE"
"DEPO-RALOVERA","MEDROXYPROGESTERONE ACETATE"
"DEPO PROVERA (GENERIC)","MEDROXYPROGESTERONE ACETATE"
"DEPO-PROVERA","MEDROXYPROGESTERONE ACETATE"
"DEPO-CLINOVIR","MEDROXYPROGESTERONE ACETATE"
"AMEN","MEDROXYPROGESTERONE ACETATE"
"PRIORIX","MEASLES-MUMPS-RUBELLA VIRUS VACCINE"
"M-M-RVAXPRO","MEASLES-MUMPS-RUBELLA VIRUS VACCINE"
"MMR VACCIN","MEASLES-MUMPS-RUBELLA VIRUS VACCINE"
"MEASLES, MUMPS, AND RUBELLA (WISTAR RA 27-3) VIRUS VACC, LIVE","MEASLES-MUMPS-RUBELLA VIRUS VACCINE"
"MEASLES, MUMPS AND RUBELLA VACCINE","MEASLES-MUMPS-RUBELLA VIRUS VACCINE"
"ARGINMAX","AMINO ACIDS\HERBALS\MINERALS\VITAMINS"
"MAXIPEN","PHENETHICILLIN POTASSIUM"
"BROXIL","PHENETHICILLIN POTASSIUM"
"YARINA PLUS","DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM"
"SAFYRAL","DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM"
"BEYAZ","DROSPIRENONE\ETHINYL ESTRADIOL\LEVOMEFOLATE CALCIUM"
"ZOMIG ZMT","ZOLMITRIPTAN"
"ZOMIGORO","ZOLMITRIPTAN"
"ZOMIG","ZOLMITRIPTAN"
"ZOLMITRIPTAN (ZOLMITRIPTAN)","ZOLMITRIPTAN"
"ZOLMITRIPTAN TEVA","ZOLMITRIPTAN"
"ZOLMITRIPTAN ORALLY DISINTEGRATING","ZOLMITRIPTAN"
"ZOLMITRIPTAN.","ZOLMITRIPTAN"
"ZOLMIPTRIPTAN","ZOLMITRIPTAN"
"ASCOTOP","ZOLMITRIPTAN"
"LYOGEN /00000601/","FLUPHENAZINE"
"LYOGEN                             /00000601/","FLUPHENAZINE"
"LYOGEN","FLUPHENAZINE"
"FLUPHENAZINE (MANUFACTURER UNKNOWN)","FLUPHENAZINE"
"FLUPHENAZINE","FLUPHENAZINE"
"IFENPRODIL TARTRATE","IFENPRODIL TARTRATE"
"APONOL","IFENPRODIL TARTRATE"
"LINOLENIC ACID","LINOLENIC ACID"
"NEW LECICARBON","SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC"
"LECICARBON","SODIUM BICARBONATE\SODIUM PHOSPHATE, MONOBASIC"
"TIKAGRELOR","TICAGRELOR"
"TICAGRELOR (TICAGRELOR)","TICAGRELOR"
"TICAGRELOR 90MG AZTRAZENECA","TICAGRELOR"
"TICAGRELOR 90MG","TICAGRELOR"
"TICAGRELOR","TICAGRELOR"
"BRILLIQUE","TICAGRELOR"
"BRILIQUE (TICAGRELOR)","TICAGRELOR"
"BRILIQUE - ASTRAZENECA AB","TICAGRELOR"
"BRILIQUE ASTRAZENECA","TICAGRELOR"
"BRILIQUE 90 MG","TICAGRELOR"
"BRILIQUE","TICAGRELOR"
"BRILINTA","TICAGRELOR"
"AZD6140 CODE NOT BROKEN","TICAGRELOR"
"AZD6140","TICAGRELOR"
"METRONIDAZOLE SODIUM","METRONIDAZOLE SODIUM"
"PILOCARPINE HCL/EPINEPHRINE","EPINEPHRINE\PILOCARPINE"
"LINZESS","LINACLOTIDE"
"LINACLOTIDE (OPEN-LABEL)","LINACLOTIDE"
"LINACLOTIDE (LINACLOTIDE)","LINACLOTIDE"
"LINACLOTIDE","LINACLOTIDE"
"DARIFENACIN(DARILONG) DARILONG 7.5 SUN PHARMA LABORATORIES","DARIFENACIN"
"DARIFENACIN (DARIFENACIN) (DARIFENACIN)","DARIFENACIN"
"DARIFENACIN","DARIFENACIN"
"NEUROFLEX","CAMPHOR, (-)-\MENTHOL, (+)-"
"VENECTOMIN","CANRENOATE POTASSIUM"
"SOLUDACTONE","CANRENOATE POTASSIUM"
"SOLDACTONE","CANRENOATE POTASSIUM"
"POTASSIUM CANRENOATE (POTASSIUM CANRENOATE)","CANRENOATE POTASSIUM"
"POTASSIUM CANRENOATE","CANRENOATE POTASSIUM"
"LUVION                             /00252502/","CANRENOATE POTASSIUM"
"KANRENOL - TEOFARMA S.R.L.","CANRENOATE POTASSIUM"
"KANRENOL - 25 MG COMPRESSE - TEOFARMA S.R.L.","CANRENOATE POTASSIUM"
"KANRENOL - 100 MG COMPRESSE","CANRENOATE POTASSIUM"
"KANRENOL","CANRENOATE POTASSIUM"
"CANREONATE","CANRENOATE POTASSIUM"
"CANRENOATE POTASSIUM","CANRENOATE POTASSIUM"
"ALDACTONE [POTASSIUM CANRENOATE]","CANRENOATE POTASSIUM"
"POLLENS - TREES, TREE MIX 11","ACER SACCHARUM POLLEN\BETULA NIGRA POLLEN\CARYA OVATA POLLEN\FAGUS GRANDIFOLIA POLLEN\FRAXINUS AMERICANA POLLEN\JUGLANS NIGRA POLLEN\PLATANUS OCCIDENTALIS POLLEN\POPULUS DELTOIDES POLLEN\QUERCUS RUBRA POLLEN\SALIX NIGRA POLLEN\ULMUS AMERICANA POLLEN"
"CORTONE ACETATO","CORTISONE ACETATE"
"CORTONE","CORTISONE ACETATE"
"CORTISONE (CORTISONE ACETATE)","CORTISONE ACETATE"
"CORTISONE ACETATE.","CORTISONE ACETATE"
"CORTISON","CORTISONE ACETATE"
"SAFFLOWER OIL","SAFFLOWER OIL"
"LIPOSYN","SAFFLOWER OIL"
"MONOCID","CEFONICID SODIUM"
"LOFEXIDINE HYDROCHLORIDE.","LOFEXIDINE HYDROCHLORIDE"
"WESTHROID","THYROGLOBULIN"
"THYROGLOBULIN","THYROGLOBULIN"
"BUPROPION HYDROBROMIDE","BUPROPION HYDROBROMIDE"
"APLENZIN","BUPROPION HYDROBROMIDE"
"LACTOBACILLUS CASEI","LACTOBACILLUS CASEI"
"BIOLACTIS","LACTOBACILLUS CASEI"
"ROPION INTRAVENOUS","FLURBIPROFEN AXETIL"
"ROPION","FLURBIPROFEN AXETIL"
"FLURBIPROFEN AXETIL","FLURBIPROFEN AXETIL"
"MEPHENESIN","MEPHENESIN"
"DECONTRACTYL /00140701/","MEPHENESIN"
"DECONTRACTYL","MEPHENESIN"
"ANTI-LIPIDE","CLOFIBRATE\INOSITOL NIACINATE"
"DISINFECTANT (ISOPROPANOL/PINE OIL)","ISOPROPYL ALCOHOL\WHITE PINE OIL"
"BROMINE","BROMINE"
"RHINOFLUIMUCIL","ACETYLCYSTEINE\BENZALKONIUM CHLORIDE\TUAMINOHEPTANE SULFATE"
"ANTIANGIN","BISMUTH CAMPHOCARBONATE, D-"
"GARLIQUE","GARLIC"
"GARLIC TABLETS","GARLIC"
"GARLIC (ALLIUM SATIVUM)","GARLIC"
"GARLIC.","GARLIC"
"MYCAMINE","MICAFUNGIN SODIUM"
"MICAFUNGIN SODIUM","MICAFUNGIN SODIUM"
"MICAFUNGIN/MICAFUNGIN SODIUM","MICAFUNGIN SODIUM"
"FUNGUARD","MICAFUNGIN SODIUM"
"RICOLA ORIGINAL HERB COUGH DROP","HERBALS\MENTHOL"
"RICOLA NATURAL HERB COUGH DROPS (4.9 MG. MENTHOL)","HERBALS\MENTHOL"
"RICOLA COUGH DROPS","HERBALS\MENTHOL"
"HEMABATE","CARBOPROST TROMETHAMINE"
"XYLOCAINE NAPHAZOLINE","LIDOCAINE HYDROCHLORIDE\NAPHAZOLINE NITRATE"
"MENACTRA","NEISSERIA MENINGITIDIS GROUP A CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN\NEISSERIA MENINGITIDIS GROUP C CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN\NEISSERIA MENINGITIDIS GROUP W-135 CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN\NEISSERIA MENINGITIDIS"
"ELASZYM","ELASTASE"
"TRYPTOPHAN, L-","TRYPTOPHAN"
"TRYPTOPHAN /00215101/","TRYPTOPHAN"
"TRYPTOPHAN                         /00215101/","TRYPTOPHAN"
"TRYPTOPHAN","TRYPTOPHAN"
"TRYPHTOPHAN","TRYPTOPHAN"
"L-TRYPTOPHANE","TRYPTOPHAN"
"L-TRYPTOPHAN","TRYPTOPHAN"
"PAINSTOP (ACETAMINOPHEN\CODEINE PHOSPHATE\PROMETHAZINE HYDROCHLORIDE)","ACETAMINOPHEN\CODEINE PHOSPHATE\PROMETHAZINE HYDROCHLORIDE"
"VITAMIN-A","VITAMIN A"
"VITAMIN  A","VITAMIN A"
"VITAMIN A","VITAMIN A"
"HIGH DOSE VITAMIN A","VITAMIN A"
"AMEVIVE","ALEFACEPT"
"ALEFACEPT","ALEFACEPT"
"RAMUCRUMAB","RAMUCIRUMAB"
"RAMUCIRUMAB 100MG/ML ELI LILLY","RAMUCIRUMAB"
"RAMUCIRUMAB 100MG LILLY","RAMUCIRUMAB"
"RAMUCIRUMAB","RAMUCIRUMAB"
"EV CYRAMZA","RAMUCIRUMAB"
"CYRAMZA","RAMUCIRUMAB"
"WALGREENS NICOTINE TRANSDERMAL SYSTEM PATCH CLEAR, 7MG TRANSDERMAL PAT","NICOTINE"
"WALGREENS NICOTINE TRANSDERMAL SYSTEM PATCH CLEAR, 7MG","NICOTINE"
"WALGREENS NICOTINE TRANSDERMAL SYSTEM PATCH CLEAR","NICOTINE"
"WALGREENS LOZENGE ORIGINAL 4 MG","NICOTINE"
"WALGREEN NICOTINE","NICOTINE"
"UP AND UP NICOTINE","NICOTINE"
"THRIVE GUM UNKNOWN","NICOTINE"
"THRIVE 2 MG","NICOTINE"
"THRIVE","NICOTINE"
"TARGET NTS CLEAR 21 MG TRANSDERMAL PATCH","NICOTINE"
"TARGET NTS 14MG TRANSDERMAL PATCH","NICOTINE"
"TARGET NICOTINE","NICOTINE"
"SIMPLY RIGHT NICOTINE","NICOTINE"
"SIMPLY RIGHT CLEAR 21 MG","NICOTINE"
"RITEAID STEP 1 21MG","NICOTINE"
"RITE AID NICOTINE TRANSDERMAL SYSTEM STEP 2","NICOTINE"
"QUITX GUM","NICOTINE"
"QUITX","NICOTINE"
"PRIVATE LABEL STRENGTH UNKNOWN","NICOTINE"
"PRIVATE LABEL STEP 3 7MG ACCT UNKNOWN","NICOTINE"
"PRIVATE LABEL STEP 2 14MG ACCT UNKNOWN","NICOTINE"
"PRIVATE LABEL STEP 1 21MG ACCT UNKNOWN","NICOTINE"
"PRIVATE LABEL LOZENGE (UNKNOWN BRAND-STRENGTH) LOZENGE","NICOTINE"
"PRIVATE LABEL","NICOTINE"
"NRT INHALER","NICOTINE"
"NRT GUM","NICOTINE"
"NIQUITIN","NICOTINE"
"NICOTROL","NICOTINE"
"NICOTINE (WATSON LABORATORIES)","NICOTINE"
"NICOTINE UNKNOWN BRAND TRANSDERMAL PATCH","NICOTINE"
"NICOTINE UNKNOWN BRAND MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE UNKNOWN BRAND LOZENGE","NICOTINE"
"NICOTINE UNKNOWN BRAND INHALATIONAL POWDER","NICOTINE"
"NICOTINE UNKNOWN BRAND COMPRESSED LOZENGE","NICOTINE"
"NICOTINE UNKNOWN BRAND","NICOTINE"
"NICOTINE (UNKNOWN)","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM STEP 2","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM STEP 1","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM PATCH KIT","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM, 7 MG/DAY","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM, 21 MG/DAY","NICOTINE"
"NICOTINE TRANSDERMAL SYSTEM","NICOTINE"
"NICOTINE TRANSDERMAL PATCH","NICOTINE"
"NICOTINE SPRAY","NICOTINE"
"NICOTINE RESINATE","NICOTINE"
"NICOTINE RESIN","NICOTINE"
"NICOTINE REPLACEMENT THERAPY UNSPECIFIED","NICOTINE"
"NICOTINE POLACRILEX STOP SMOKING AID","NICOTINE"
"NICOTINE POLACRILEX COMPRESSED LOZENGE","NICOTINE"
"NICOTINE POLACRILEX, COATED MINT FLAVOR","NICOTINE"
"NICOTINE POLACRILEX, COATED FRUIT FLAVOR","NICOTINE"
"NICOTINE POLACRILEX","NICOTINE"
"NICOTINE PATCH (UNSPECIFIED)","NICOTINE"
"NICOTINE PATCH UNKNOWN BRAND TRANSDERMAL PATCH","NICOTINE"
"NICOTINE PATCH TRANSDERMAL PATCH","NICOTINE"
"NICOTINE  PATCH TRANSDERMAL PATCH","NICOTINE"
"NICOTINE PATCHES 14 MG","NICOTINE"
"NICOTINE (NICOTINE)","NICOTINE"
"NICOTINE (NCH) (NICOTINE)","NICOTINE"
"NICOTINE MINI MINT 4 MG 957","NICOTINE"
"NICOTINE MINI","NICOTINE"
"NICOTINE MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE LOZENGES","NICOTINE"
"NICOTINE LOZENGE LOZENGE","NICOTINE"
"NICOTINE LOZENGE","NICOTINE"
"NICOTINELL TTS 30","NICOTINE"
"NICOTINELL PLACEBO GUM","NICOTINE"
"NICOTINELL FRUIT NICOTINE GUM","NICOTINE"
"NICOTINELL COATED GUM LIQUIRICE","NICOTINE"
"NICOTINELL","NICOTINE"
"NICOTINE INHALER","NICOTINE"
"NICOTINE GUM UNKNOWN STRENGTH UNKNOWN BRAND MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE GUM UNKNOWN STRENGTH UNKNOWN BRAND","NICOTINE"
"NICOTINE GUM MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE GUM 4MG UNKNOWN BRAND MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE GUM 4MG UNKNOWN BRAND","NICOTINE"
"NICOTINE GUM 2MG UNKNOWN BRAND MEDICATED CHEWING-GUM","NICOTINE"
"NICOTINE GUM","NICOTINE"
"NICOTINE EXTENDED RELEASE TRANSDERMAL FILM","NICOTINE"
"NICOTINE DERMAL PATCH","NICOTINE"
"NICOTINE CINNAMON SURGE OTC 4MG","NICOTINE"
"NICOTINE 4 MG MINT 873","NICOTINE"
"NICOTINE 2 MG MINT 344","NICOTINE"
"NICOTINE 12063/0068 2 MG","NICOTINE"
"NICOTINE                           /01033302/","NICOTINE"
"NICOTINE.","NICOTINE"
"NICORETTE WHITE ICE MINT","NICOTINE"
"NICORETTE QUICKMIST NICO-SPRAY","NICOTINE"
"NICORETTE QUICKMIST MOUTHSPRAY","NICOTINE"
"NICORETTE QUICKMIST 1MG NICO-SPRAY","NICOTINE"
"NICORETTE QUICKMIST 1MG","NICOTINE"
"NICORETTE QUICKMIST","NICOTINE"
"NICORETTE PFLASTER","NICOTINE"
"NICORETTE ORIGINAL","NICOTINE"
"NICORETTE MINT","NICOTINE"
"NICORETTE INVISI","NICOTINE"
"NICORETTE FRUIT CHILL","NICOTINE"
"NICORETTE FRESH MINT","NICOTINE"
"NICORETTE CINNAMON SURGE","NICOTINE"
"NICORETTE","NICOTINE"
"NICORELIEF","NICOTINE"
"NICOPATCH","NICOTINE"
"NICOPASS","NICOTINE"
"NICODERM STEP 3 CLEAR","NICOTINE"
"NICODERM CQ","NICOTINE"
"NICABATE CQ","NICOTINE"
"NICABATE","NICOTINE"
"MISCELLANEOUS NRT PRODUCTS TRANSDERMAL PATCH","NICOTINE"
"MEMBERS MARK NICOTINE","NICOTINE"
"LOZENGE","NICOTINE"
"KROGER STEP 1 21 MG","NICOTINE"
"KROGER NICOTINE","NICOTINE"
"K-MART STEP 1 21 MG 14","NICOTINE"
"HABITROL","NICOTINE"
"GENERIC NICOTINE PATCH","NICOTINE"
"EXODUS//NICOTINE","NICOTINE"
"EQUATE NICOTINE","NICOTINE"
"E-LIQUIDS FOR ELECTRONIC CIGARETTES","NICOTINE"
"ELECTRONIC CIGARETTE (NICOTINE)","NICOTINE"
"ELECTRONIC CIGARETTE","NICOTINE"
"E-CIGARETTE","NICOTINE"
"CVS NICOTINE","NICOTINE"
"CONTROL STEP 3 7 MG","NICOTINE"
"CONTROL STEP 2 14MG","NICOTINE"
"CONTROL STEP 1 21MG","NICOTINE"
"COMMIT","NICOTINE"
"CIGARETTES","NICOTINE"
"CIGANON CLEAR1","NICOTINE"
"BLINDED NICOTINE","NICOTINE"
"BECLABUVIR","BECLABUVIR"
"FLUTEMETAMOL [F18] INJECTION","FLUTEMETAMOL F-18"
"FRUCTOSEDIPHOSPHATE SODIUM","FOSFRUCTOSE"
"IMUREL (UNKNOWN) (AZATHIOPRINE)","AZATHIOPRINE SODIUM"
"IMUREL (AZATHIOPRINE) FORMULATION UNKNOWN","AZATHIOPRINE SODIUM"
"IMUREL (AZATHIOPRINE) (AZATHIOPRINE)","AZATHIOPRINE SODIUM"
"IMUREL (AZATHIOPRIN)","AZATHIOPRINE SODIUM"
"IMUREL /00001501/","AZATHIOPRINE SODIUM"
"IMUREL                             /00001501/","AZATHIOPRINE SODIUM"
"IMUREL","AZATHIOPRINE SODIUM"
"BLINDED AZATHIOPRINE SODIUM","AZATHIOPRINE SODIUM"
"MK-5172A","ELBASVIR\GRAZOPREVIR ANHYDROUS"
"PEPTO-BISMOL","BISMUTH SUBSALICYLATE\CALCIUM CARBONATE"
"NORBUPRENORPHINE","NORBUPRENORPHINE"
"TENOFOVIR (TENOFOVIR), UNKNOWN","TENOFOVIR"
"TENOFOVIR (TENOFOVIR) UNKNOWN","TENOFOVIR"
"TENOFOVIR","TENOFOVIR"
"BLINDED TENOFOVIR","TENOFOVIR"
"BELLADONNA AND OPIUM","ATROPA BELLADONNA\OPIUM"
"MAGNESIUM-ROUGIER","MAGNESIUM GLUCEPTATE"
"MAGNESIUM GLUCEPTATE","MAGNESIUM GLUCEPTATE"
"SODIUM CROMOGLYCATE","CROMOLYN SODIUM"
"OPTICRON","CROMOLYN SODIUM"
"OPTICROM","CROMOLYN SODIUM"
"NATRIUMCROMOGLICAAT 20 MG/ML TEVA, NEUSSPRAY","CROMOLYN SODIUM"
"NASALCROM","CROMOLYN SODIUM"
"INTAL","CROMOLYN SODIUM"
"GASTROCROM","CROMOLYN SODIUM"
"CROMOLYN SODIUM - USP (WARRICK)","CROMOLYN SODIUM"
"CROMOLYN SODIUM ORAL SOLUTION","CROMOLYN SODIUM"
"CROMOLYN SODIUM ORAL CONCENTRATE","CROMOLYN SODIUM"
"CROMOLYN SODIUM OPHTHALMIC SOLUTION USP 4%","CROMOLYN SODIUM"
"CROMOLYN SODIUM NASAL SOLUTION USP","CROMOLYN SODIUM"
"CROMOLYN SODIUM.","CROMOLYN SODIUM"
"CROMOGLICATE SODIUM","CROMOLYN SODIUM"
"CROMOGLICATE","CROMOLYN SODIUM"
"CROMABAK","CROMOLYN SODIUM"
"VERSED","MIDAZOLAM HYDROCHLORIDE"
"MIDAZOLAM (INTRAVENOUS)","MIDAZOLAM HYDROCHLORIDE"
"MIDAZOLAM HYDROCHLORIDE INJECTION","MIDAZOLAM HYDROCHLORIDE"
"MIDAZOLAM HYDROCHLORIDE.","MIDAZOLAM HYDROCHLORIDE"
"MIDAZOLAM HYDROCH","MIDAZOLAM HYDROCHLORIDE"
"MIDAZOLAM HCL","MIDAZOLAM HYDROCHLORIDE"
"MIDANIUM","MIDAZOLAM HYDROCHLORIDE"
"DORMONID (ORAL)","MIDAZOLAM HYDROCHLORIDE"
"DORMICUM (MIDAZOLAM HYDROCHLORIDE)","MIDAZOLAM HYDROCHLORIDE"
"DORMICUM (MIDAZOLAM)","MIDAZOLAM HYDROCHLORIDE"
"DORMICUM (INJ)","MIDAZOLAM HYDROCHLORIDE"
"BENZOSED","MIDAZOLAM HYDROCHLORIDE"
"OMEGA-3 (DOCOSAHEXANOIC ACID, EICOSAPENTAENOIC ACID)","DOCONEXENT\ICOSAPENT"
